Question,Answer
لو صلى الحاج مع إمام يتم صلاته. فهل يقصر الصالة؟, المسافر يصلى بصلاة الإمام، فإن أتم الصلاة أتمها معه. 
هل ُيشرع للمسافر أداء النوافل؟, نعم، يشرع له المحافظة على ركعتي الفجر والوتر. 
ما اللباس الشرعي للمرأة بني النساء؟, لها أن تلبس اللباس المعتاد بن النساء، والبأس بالزينة بينهن. 
هل الأفضل للنساء الصلاة جماعة، أم فرادى؟, تستحب صلاة الجماعة للنساء أحيانا. 
متى تستحب الصلاة جماعة للنساء؟,    ّن في الحرم فيصلين جماعة مع الناس، وإن كن في السكن فهن بالخيار، لان الجماعة لا تجب في حق النساء وغير البالغين. 
كيف تكون إمامة المرأة للنساء؟, المرأة تؤم النساء فقط، وتقف في وسط الصف الأول. 
هل يمكن صيام أيام التسع الأول من ذي الحجة في الحج؟, الحاج ليس عليه صيامها، والنبي لم يدل الحجاج إلى ذلك. 
لو دخل على الحجاج يوم الجمعة قبل الحج، فهل تجب عليهم أداء صالة الجمعة؟, لا تجب عليهم، قال النبي :[ «ليس على مسافر جمعة » رواه الطبراني. والحاج يعتبر في حكم المسافر، والواجب في حقه صلاة الظهر قصرا. 
هل الذهاب إلى جدة أو إلى المدينة النبوية وغيرهما يبطل عمرة التمتع؟, إذا ذهب الحاج إلى أي مدينة قريبة من مكة، وليست مدينته التي فيها أهله، فلا يزال يعتبر في حكم المتمتع، والعمرة الأولى باقية في حقه، ولا يلزمه أداء عمرة إن رجع إلى مكة. 
بعض الحجاج في السكن (العمارة) لا يحرصون على صالة الجماعة، ما حكم هذا التخلف؟, هذا الفعل لا ينبغي، والرجل يحرص على أداء الصلاة جماعة، مع الحضور للمحاضرات الشرعية بعد الصلاة.   
هل الأفضل الصلاة في السكن، أو الذهاب إلى الحرم؟, لا بأس بالصلاة في السكن (العمارة)، وإن تيسر الذهاب إلى الحرم من غير مشقة أو مزاحمة للمعتمرين فهذا أفضل. 
هل هناك من إثم بسبب الإكثار من الذهاب إلى الأسواق؟, الأسواق شر البقاع لمن ليس له فيها حاجة، وينبغي الحذر من الفتن التي فيها، والأولى على المسلم والمسلمة الحرص خال هذه الإيام على اغتنام الصالحات من الإعمال والأقوال. 
يرجع بعض الحجاج إلى التدخين، لانهم كما يزعمون قد انتهوا من العمرة وهم الإن متحللون، فما التوجيه لهم؟, التدخين شر وضرر يجب البعد عنه خال الإحرام خصوصا، بل وفي أي زمان ومكان، وليتق المسلم ربه أنه عند بيته المعظم وفي البلد الحرام، وضيف عليه ثم يرتكب ويجاهر بهذه الآفة، ولنتذكر أن هذه الأوقات فرصة مباركة لتعليم المسلم بأن يقلع عن هذه الآفة. 
هل ُيشرع تقبيل الحجر واستلامه في غير الطواف؟, الوارد أن استام الحجر وتقبيله لا يكون إلا في طواف. 
هل بمقدور كل من عنده علم في الحملة أن يفتي الناس؟, لا ينبغي حدوث هذا، فالفتوى العامة المتعلقة خصوصا بنسك الحج متعلقة بمرشد الحملة، وهذا ما علمنا إياه عمر ] حيث كان يجعل مفتيا واحدا للناس في مسائل الحج، إذ كثرة الآراء قد تجعل الناس في تشتت من الرأي والعمل.   
بعض النساء قد تخجل من السؤال بما يتعلق بأمور النساء، فما حكم هذا الخجل؟, هذا من الخجل المذموم، فالواجب السؤال عن كل أمر بحياتها له تعلق بالشرع، ويمكن معاجلة الخجل من خال سؤالها من خال الهاتف، أو بإرسال ورقة إلى أهل العلم.  
ما تاريخ هذا اليوم؟, الثامن من ذي الحجة. 
ما معنى يوم التروية؟, كان العرب قبل الإسلام يحضرون املاء من مكة إلى منطقة منى ليرتووا، فسمي هذا اليوم بذلك الفعل. 
ما معنى اسم (منى)؟, (منى) بالكسر لا بالضم، ويقال: فان أمنى إذا نزل مبنى.  ُيسال فيها من دماء  ُمينى أي  وسبب التسمية: لكثرة ما الأضاحي.  
هل ينبغي على مرشد الحملة تعليم الحجاج أحكام الحج؟, نعم، فقد ورد عن ابن عمر ] أنه قال: كان [ قبل يوم التروية بيوم يخطب الناس فيخبرهم بمناسكهم. 
ما أعمال هذا اليوم؟, لبس ملابس الإحرام، والاهلال بالحج من الضحى، ولا بأس به بعد الزوال (أذان الظهر)، وقصر الصلاة من دون جمع في منى، ويستحب المبيت بها. 
ما حكم أعمال هذا اليوم؟, أعمال هذا اليوم ( كالإحرام، والنزول في منى، أداء الصلوات:   الظهر، العصر، المغرب، العشاء، الفجر) مستحبة. 
ما الدليل من قول العلماء في استحباب هذا المبيت؟, ذكر ابن المنذر إجماع أهل العلم على استحباب المبيت في منى ليلة عرفة، وليس هناك شيء على تاركه. 
هل ُيشترط ارتداء ملابس الإحرام أن يكون عند بيت الله؟, لا يشترط ذلك، والنبي لم يخصص موضعا لفعل ذلك. 
هل ُيقال عند ارتداء ملابس الإحرام : نويت أن...؟, هذا القول غير مشروع، ولكن هناك الإهلال بالحج فقط يقول: (لبيك اللهم بحج.) 
متى يبتدئ الإحرام والإهلال بالحج في هذا اليوم؟, المشروع أن يكون في وقت الضحى. 
ما حكم التأخر بالإهلال للحج أو التبكير؟, المشروع والأفضل التبكير به قبل الزوال، لحديث: ( وما من مؤمن يظل يومه محرما إلا غابت الشمس بذنوبه.) صحيح الترغيب 
إذا تأخر حاج في لبس الإحرام إلى الليل لجلوس الحملة في السكن، فهل عليه شيء في ذلك التأخير؟, لا شيء عليه، لان لبس الإحرام من الظهر، أو في أي وقت في هذا اليوم ولو في الليل من المستحبات. 
من ترك الاغتسال؛ لضيق الوقت، فهل ارتكب خطأ؟, لا، بل حجه صحيح، لان الاغتسال من المستحبات، وفيه   الدلالة على تعظيم شعائر الله. 
الاغتسال في منى قبل الدخول في الإحرام، هل يجزئ؟, نعم، والأفضل الاغتسال قبل الإحرام في السكن، أو في أي مكان في مكة.  ح ِرم  
ما حكم من كان في منى قبل يوم التروية، هل يرجع لي من عند البيت الحرام، أم يحرم في منى؟,  الجالس في منى ُيشرع له أن يحرم منها، ويلبي من مكانه بالحج. 
وضع حاج مادة دهنية (جل) على رأسه حتى لا يتطاير شعره. هل يعد هذا من التطيب؟, هذا يسمى (التلبيد) وقد فعله النبي ، وإن كان فيه شيء من رائحة لم يقصد بها التعطر، فلا بأس به. 
امرأة رأت صفرة أو كدرة بعد تطهرها لليوم الثامن. ما الحكم عليها؟, لا شيء عليها، فالصحابيات كن لا يعتبرن الصفرة والكدرة شيئا. 
حاضت امرأة في هذا اليوم. فهل تخرج مع الحجاج إلى منطقة منى، أم أنها تجلس في السكن؟, لا ُيوثر هذا على إحرامها؛ ولها أن تخرج معهم وتؤدي جميع الإعمال، إلا طواف الإفاضة، فإنها تؤخره حتى تطهر. 
هل هناك من أدعية معينة بعد الإحرام؟,   يستحب الإكثار من التلبية في الطريق إلى منى، ثم التوقف عنها عند الجلوس فيها. 
ما حكم الدخول بعد منتصف الليل إلى منى، بسبب الزحام؟, لا حرج عليهم، والمبيت في منى في هذا اليوم من المستحبات. 
لم ُيصل الحاج أي صالة في منطقة منى في هذا اليوم، فهل عليه كفارة ألنه خالف السنة؟, ليس عليه أي شيء، لان الصلاة في منى أو في غيرها يوم التروية من المستحبات. 
هل المقصود بالمبيت مبنى هو النوم فيها؟, المقصود به: الجلوس فيها ليا، ولا يشترط فيه النوم. 
ما التوجيه للقول السابق من الشرع؟, يمكن توجيه القول من قوله تعالى: { َوا َل ِذي َن َيبِيتون لِ َر ّبِ ِه ْم  َو ِق َياما} (الفرقان: )64 أي يقضون ليلهم بالعبادة  َّج ًدا  ُس  والدعاء. 
هل يجوز جمع الصلاة مع قصرها في منى؟, سنة النبي في هذا اليوم قصر الرباعية فقط من غير جمع. 
ما حكم تخلف المريض عن الذهاب إلى منى ( يوم التروية )؟, لا شيء عليه، وبمقدوره التوجه إلى عرفة ليكون في راحة. 
هل يشرع التوجه إلى عرفة بدال من منطقة منى؟, يجوز الذهاب إلى عرفة مباشرة في هذا اليوم، أو ليلة التاسع. 
بعض الحجاج يصر على المضي إلى منى في هذا اليوم،   وإدارة الحملة تريد التوجه إلى عرفة. ما العمل؟, الواجب على الحاج حسن التعامل مع إدارة الحملة واستيعاب فقه أعمال الحج، وعدم الاختلاف مع إدارة الحملة. 
لماذا تتوجه بعض الحملات إلى عرفة بدال من منى؟, سبب هذا ليكون الحاج في راحة، وبعيدا عن الإجهاد والتأخير في بلوغ عرفة في يوم التاسع. 
من خرج آخر الليل إلى عرفات تفاديا للزحام، فهل تركه للمبيت مشروع أم عليه الفدية؟, لا حرج عليه - بإذن الله - والأمر فيه سعة. 
هل ُيشرع الحديث أثناء المبيت مع الأصدقاء؟, لا بأس بذلك إن كان الحديث بشيء نافع شرعا. 
إذا قام المحرم من نومه وهو محتلم، فهل فسد إحرامه؟, لم يفسد، لان الإحتلام وقع بغير قصد، فعليه أن يغتسل ويكمل نسكه. 
من وصل ظهرا في يوم الثامن فأدى العمرة، هل يكون متمتعا؟, قيل أنه لا يكون متمتعا من وصل إلى مكة بعد الظهر، لان وقت التمتع قد انتهى لدخول وقت الحج، والراجح الجواز لان أعمال اليوم الثامن مستحبة. 
هل بمقدور الحاج أن يعتمر ثم يؤدي الحج؟, نعم له ذلك، فبمقدوره أداء العمرة ثم يستريح أو يتوجه لعرفة.   
من لم يجد مكانا في منى، فهل يجب عليه التأجير؟, لا يجب عليه الدفع، إمنا يجلس في منى إذا وجد مكانا. 
من وجد مكانا خاليا، لكن لم يأت صاحب المكان، هل يجوز الجلوس فيه؟, لا يجوز هذا، إلا اذا علم أن صاحبه لن يمانع بجلوسه فيه. ألنه حق للجميع. 
ما الاصل في الجلوس في منطقة منى؟,  ِمنى الاصل فيه الأحقية بالجلوس لمن سبق، لقول النبي:[ « َمناخ من سبق.» أخرجه الترمذي وابن ماجه 
هل لهذا اليوم من فضل عند الله؟, نعم، فعن عائشة رضي الله عنها قالت : إن رسول الله [ قال: «ما من يوم أكثر من أن ُيعتق الله فيه عبدا من النار من يوم عرفة، وإنه ليدنو، ثم يباهي بهم الملائكة، فيقول: ما أراد هؤلاء؟.» رواه مسلم وقال :[ « إن الله يباهي بأهل عرفات أهل السماء فيقول لهم: انظروا إلى عبادي هؤلاء جاءوني شعثا غبرا.» رواه البيهقي وورد عن النبي قال: ...«وأما وقوفك عشية عرفة، فإن الله يهبط إلى سماء الدنيا فيباهي بكم الملائكة، يقول : عبادي جاؤوني شعثا غبرا من كل فج عميق يرجون رحمتي، فلو كانت ذنوبكم كعدد الرمل أو كقطر المطر، أو كزبد البحر لغفرتها، أفيضوا مغفورا لكم وملن شفعتم له .» رواه الطبراني 
ما سبب التسمية ب (عرفة)؟, قيل: إن الاسم جاء من أن الحجيج في هذا اليوم يعترفون بذنوبهم، وقيل: إن إبراهيم [ قال لجبريل ملا ب ّن له المناسك وسأله: عرفت؟ فقال :[ عرفت. وقيل: إن آدم وحواء تعارفا في هذا الموضع بعد وصولهم الإرض، والله أعلم بالصواب. 
ما أسماء يوم عرفة الأخرى؟, يسمى بيوم التمام، ويوم الحج الأكبر، واليوم المشهود.   
هل هناك من أصل شرعي لتسمية الجبل.. بالرحمة؟, ليس له أصل في السنة النبوية، لكن ُيقال له تاريخيا جبل الإل، أو الإل، ولو أطلق عليه جبل عرفة لكان أفضل. 
هل لجبل عرفة أي ميزة أو بركة شرعية؟, لم يرد عن النبي أي شيء من ذلك، ولا حتى عن الصحابة. 
هل الشاخص الموضوع على قمة جبل عرفة له أثر شرعي؟, ليس له أي بركة أو أثر شرعي، بل هو من الحدثات في العقود المتأخرة. 
ما حكم الوقوف بعرفة ؟, الوقوف بعرفة هو ركن الحج الأعظم، والنبي قال: « الحج عرفة .» رواه أبو داود 
متى يبدأ الوقوف بعرفة ؟, يبدأ من زوال شمس اليوم التاسع ( فترة الظهر)، وينتهي بطلوع فجر يوم العاشر (العيد.) 
ما معنى مصطلح: (الوقوف بعرفة)؟, هي مأخوذة من قول النبي :[ ( وقفت هاهنا، وعرفة كلها موقف) أي النزول، بأن يكون بها وقت الوقوف 
هل يتحقق هذا ولو للحظات؟, نعم ولو لحظة أو مارا أو قاعدا، للمعذور، ولا يقصد بها الوقوف دائما وعدم الجلوس.  
ما مثال المعذور؟, مثاله ما وقع للصحابي عروة بن المضرس الطائي قال: جئت رسول الله [ في الموقف فقلت: جئت يا رسول الله من جبلي طيء، أكللت مطيتي، وأتعبت نفسي، والله ما تركت من جبل إلا وقفت عليه، هل لي من حج؟ فقال رسول الله :[ (من أدرك معنا هذه الصلاة، وأتى عرفات قبل ذلك ليا أو نهارا، تم حجه وقضى تفثه.) رواه أحمد 
ما ُحكم التأكد من حدود منطقة عرفة؟, هذا من الواجبات، فمن كان خارج حدودها لم يتحقق له الوقوف الصحيح. 
هل صحيح أن وقوف النبي وافق يوم الجمعة؟, نعم، هذا صحيح. 
هل صلى النبي صالة الجمعة في هذا اليوم المبارك؟, لا، إمنا صلى الظهر والعصر، قصرا وجمعا. 
ما الدليل على عدم صالة النبي الجمعة، مع أنه خطب في هذا اليوم وقبل الصالة؟, الدليل على هذا أنه صلى ظهرا لا جمعة من وجوه كثيرة: - صلها ركعتن وسماها الراوي ظهرا. - صلى معها العصر قصرا وجمعا. - خطب خطبة واحدة قبل الآذان، والجمعة خطبتان. - خطب قبل الآذان، والقاعدة في الجمعة أنه يخطب بعد الآذان. - لم يجهر بالقراءة، والجمعة يجهر فيها بالقراءة .   
هل ُتشرع التلبية أثناء التوجه إلى منطقة عرفة؟, نعم، فقد كان الصحابة إذا غدوا من منى إلى عرفة مع رسول الله [ يهل منهم المهل فلا ينكر عليه، ويكبر منهم المكبر فلا ينكر عليه. رواه البخاري 
ماذا عمل النبي في هذا اليوم ؟, في اليوم التاسع من ذي الحجة جلس النبي خارج عرفة في بطن الوادي، ثم صلى في نمرة بأذان واحد وإقامتين للظهر والعصر، جمع تقدمي مع قصر الصلاة، وكان قد خطب فيهم خطبة الوداع، حتى أتى الموقف فجعل بطن ناقته القصواء إلى الصخرات، وجعل حبل المشاة بن يديه، واستقبل القبلة، وقام يدعو الله إلى مغيب الشمس. 
هل النزول بمنطقة نمرة من الواجبات؟, لا، بل هو مستحب إن تيسر، وإلا فلا حرج على الحاج إن لم ينزل بنمرة. 
ما حكم النزول بمنطقة ُعرنة؟,   ُعرنة هو من المستحبات قبل الدخول إلى عرفة لمن تيسر له. 
أين موقع نمرة وعرنة؟, كلاهما قبيل عرفة، ويقول الشيخ ابن عثيمين: « بطن  من عرفة، لكن مع ذلك لا يجوز الوقوف فيه، ... لان هذا ليس من عرفة شرعا، وإن كان منها تاريخيا.» 
حاج دخل مكة في هذا اليوم، هل يمكنه أن يدرك الحج؟,   نعم، فإن متكن من الطواف والسعي صباحا فله أن يحج متمتعا أو قارنا، وإلا فإنه يكون مفردا. 
إن احتاجت الحملة عند تجهيز المخيم إلى قطع بعض الأشجار في منطقة عرفة. فما حكم فعلهم؟, ينبغي عدم إفساد ما وضعته الحكومة، لان هذا ُيعد من التعدي على الممتلكات العامة، لكن لو وقع ممن يجهل هذا الإمر فلا إثم عليه في النسك، وألن عرفة من احلل وليست من الحرم. 
أثناء الطريق إلى المخيم احتاج حاج إلى تغطية وجهه بسبب الدخان والغبار، هل يجوز له ذلك؟, يجوز، وقد ورد عن عثمان بن عفان أنه قال: «كان [ ُيخمر (يغطي) وجهه وهو محرم»، لكن لا يغطي الرجل رأسه. 
هل الجلوس في منطقة نمرة خارج عرفة وقبل الزوال (أي الظهر)، يعد من الواجبات؟, هذا من المستحبات، إن تيسر فعله، ومن كان متقيدا مع رفقة فعليه أن يكون معهم ما داموا لم يخالفوا أمرا واجبا. 
لم يتمكن الحاج من الصلاة في مسجد نمرة ، فهل يعد ذلك عدم تطبيق للسنة؟, لا شيء عليه إن شاء الله، ومعلوم شأن المشقة والزحام لبلوغ  ُو ْس َع َها.}  َّال  ً إِ  َن ْف  ُف الل ُه  ُي َك ِّل  َال  المسجد، وقال تعالى: {  
هل قصر الصلاة يوم عرفة يكون للجميع حتى أهل مكة؟, نعم للجميع، لان العلة فيه أنه للنسك. 
من صلى وحده الظهر والعصر. هل يقصر الصالة؟,   نعم، له ذلك. 
هل يجوز التطوع بالصالة بعد صالتي الفريضة؟, لم يثبت أن النبي صلى نافلة خال هذه الفترة، ولكنه [ حرص واجتهد في الدعاء. 
كيف أدى النبي الصلاة في عرفة؟, الوارد في السنة أنه [ أمر بالأذان، ثم أقام فصلى الظهر ركعتن، ثم أقام فصلى العصر ركعتن. 
هل هذا الحكم متوجه لكل مسافر؟, نعم، فالمسافر الظهر والعصر بدون راتبة، والمغرب والعشاء بدون راتبة، إلا الفجر فإن النبي | كان يصلي الراتبة معها كما فعل في مزدلفة. 
من تأخر في أداء صالة الظهر في أول الوقت لزحام السيارات، فهل عليه شيء؟, لا شيء عليه لعدم تفريطه، وله أن يصليها متى ما بلغ عرفة. 
إذا اكتفى إمام الحملة فقط بأداء صالتي الظهر والعصر ولم يخطب بالحجاج. فهل خالف السنة؟, لم يخالفها، فالخطبة غير واجبة، وإن فعلها الخطيب ليبن أعمال وآداب هذا اليوم فحسن. 
أين وقف النبي في عرفة؟, وقف عند الصخرات أسفل جبل عرفات. 
هل صعد النبي الجبل؟,  لا، ولذا لا يشرع أبدا صعود الجبل إجماعا، ولا الصلاة عنده. 
هل ُيشرع صيام يوم عرفة للحجاج؟, لا يشرع لهم ذلك، فقد صح أن النبي فيما رواه البخاري عنه كان مفطرا، وذلك لكي يتقوى الحاج على الطاعة. 
قراءة القرآن أغلب الوقت في عرفة، هل يعد مشروعا؟, نعم مشروع، وهو خير الذكر، وإن كان هديه [ الدعاء. 
هل يشترط الوضوء للدعاء في نهار عرفة؟, لا يشترط، لكن الوضوء ألجل الدعاء يعد من المستحبات. 
ما حكم استقبال القبلة في الدعاء؟, يعد من المستحبات. 
ما الدعاء الوارد عن النبي في هذا اليوم العظيم؟, قال النبي :[ «خير الدعاء دعاء يوم عرفة، وخير ما قلت أنا والنبيون من قبلي: لا إله إلا الله وحده لا شريك له، له امللك وله الحمد وهو على كل شيء قدير.» رواه الترمذي 
هل ُيشرع الدعاء من الكتيبات الجامعة للأدعية؟, لا بأس بهذا، وللمسلم أن يدعو بما يحب من خيري الدنيا والآخرة، له ولأهله وللمسلمين. 
ما آداب الدعاء؟, من الآداب: رفع اليدين، البدء بالحمد لله والثناء عليه، الصلاة على النبي، الإلحاح بالدعاء، عدم الاستعجال، تجنب الدعاء على الاهل أو الولد، عدم تكلف السجع،   الاعتراف بالذنب والتقصير. 
هل الأفضل في الدعاء فعله قياما أو جلوسا؟, ورد أن النبي دعا قائما وجالسا في هذا اليوم. 
بعض الحجاج يدعون دعاء جماعيا لان فيه العبرة والعظة كما يقولون، هل قولهم صحيح؟, هذا من الابتداع، والوارد من فعله [ الدعاء الفردي. 
هل ُيشرع عمل دعاء جماعي للحجاج؟, الابتعاد عنه بهذه الكيفية أولى، لكن إن كان الدعاء للتذكير بأهمية السؤال والذكر في هذا اليوم فإن شاء الله لا بأس به. 
هل ُيشترط في يوم عرفة الوقوف على جبل عرفة ليكون الدعاء متقبلا؟, النبي وقف قرب الجبل، وذكر أن: «عرفة كلها موقف»، فمن خصص الوقوف على الجبل فقد تكلف في العبادة، ووقع في الغلو. 
هل يجوز الدعاء والإنسان مضطجع أو مستلق؟, لا بأس بهذا، وللمسلم أن يدعو الله على أي هيئة. 
حاج قضى أكثر وقته في النوم. فهل فاته شيء من النسك؟, النوم ُيتقوى به للعبادة، ولكن المبالغ فيه قد فاته خير عظيم من الدعاء والذكر وقراءة القرآن والكثير من الإعمال المباركة في  ُيعد خير يوم طلعت فيه الشمس.  هذا اليوم المشهود، الذي  
ما حكم كثرة الحديث مع الأصدقاء في نهار عرفة؟,   هذا فيه تضييع لخير كبير في هذا اليوم العظيم. 
في يوم عرفة هناك من لا زال يدخن، فما حكم فعله؟, لا يعقل أن يأتي مسلم ويناجي ربه في (خير يوم طلعت فيه الشمس) وهو متلبس برائحة قذرة، وبفعل أفتى العلماء بتحريميه، فكيف يواجه به ربه العظيم؟ فالله طيب لا يقبل إلا طيبا ، فإذا كان من أكل الثوم والبصل لا يقرب المسجد، فكيف بحال هذا المتهاون في تعظيم من يناجي في عرفة؟! 
هل تجوز الخطوبة في يوم عرفة، ثم الزواج بعد الحج؟, المحرم بالحج تمنع عليه الخطوبة وعقد النكاح. 
هل الأفضل الجلوس في الشمس أم الظلل؟, الأفضل على الحاج الجلوس في الظل، لان النبي وضعت له قبة وجلس فيها لتظلله. 
يقولون: (الأجر على قدر المشقة) فلماذا لا نتعب النفس؟, الاجر على قدر المشقة إن وقعت للمسلم في عمله فصبر، لا أن يسعى إلى التعب والمشقة، والنبي قال للصحابية:  ًا.  ِك»، أي أن المشقة تابعة وليست أص  َصبِ  ِك على قدر َن  «أجر  
قدمت الحملة طعاما مطيبا بالزعفران، فهل هذا مخالف لمحظورات الإحرام؟, لا يقصد من هذا الزعفران التطيب في الجسد، فلا شيء على الحاج لو أكل منه، والأولى البعد عنه. 
استعمال فرشاة الإسنان والمعجون، هل يعد من التطيب؟,   لا بأس باستعمالهما ألنهما للنظافة، وليست من التطيب. 
دخل حاج الحمام لقضاء الحاجة، وبعدها بوقت اكتشف وجود نجاسة في ثوبه، ماذا يصنع؟, عليه أن يغسل موضع النجاسة، ولا شيء عليه لو صلى قبل ذلك أي صلاة، وفرغ منها. 
هل يجوز للمحرم قتل الحشرات المؤذية في المنطقة مثل البعوض والعناكب؟, إن آذته فله دفعها أو قتلها، لا أن يسعى ويحرص على قتلها، وجاء عن النبي :[ « خمس من الدواب ليس على المحرم في قتلهن جناح: الغراب، والحدأة، والفأرة، والعقرب، والكلب العقور.» رواه أحمد 
هل الأفضل في صدقة التطوع في يوم عرفة توزيعها في منطقة عرفة، أم ادخارها لبناء مشاريع بعد ذلك؟, الإمر فيه سعة، فإن تم توزيعها في عرفة فهو حسن، وإن تبقى شيء ليتم توزيعه في غير هذا اليوم، وكان بعلم المتصدقين فلا بأس به ولهم الاجر إن شاء الله لتبرعهم في هذا اليوم. 
هل هناك من أعمال مشروعة في عرفة تحديدا؟, الدعاء وقراءة القرآن، ومن أجمل الإعمال حسن التعامل مع الناس، وخدمتهم. 
امرأة نزل منها دم الحيض يوم عرفة، ماذا تفعل؟, لا يؤثر على إحرامها، ولها الدعاء وقراءة القرآن.   
داعب حاج زوجته وقبلها من غير جماع، فهل عليه شيء؟, عليه الفدية لتعمده فعل هذا، وهي فدية فعل المحظور. 
أثناء جلوس الحاج في منطقة عرفة حك رأسه بقوة فسقطت بعض الشعرات، هل عليه الكفارة؟, لا شيء عليه، لان هذا لا يعد من قص الشعر. 
اغتسل حاج لشعوره بالضجر ونزول العرق عليه لينشط للعبادة. فهل عليه شيء لو استعمل الصابون؟, لا شيء عليه، لو استعمل صابون التنظيف، وليس للتطيب. 
بعد الاغتسال (الاستحمام) مشط حاج شعره ووضع بعض الكريمات المرطبة للبشرة. هل هذا يعد من الزينة؟, البأس باستعمال المشط برفق، وإن كانت الكريمات لها سبب طبي فهذه لها حكم الجواز وعدم الكراهة. 
ما حكم استعمال الكريمات الواقية عن الشمس؟, لا بأس باستعمالها. 
ما حكم الخروج بعد المغرب من عرفة؟, هذا من واجبات الحج، لان النبي | وقف إلى المغرب حتى ذهبت صفرة الشمس قليا وغاب القرص، وقال: ( لتأخذوا عني مناسككم .) والفعل المقترن بالأمر دال على الوجوب. 
هل رخص النبي للضعفة بالخروج قبل مغيب الشمس؟, لا، لم يرخص لهم مثلما رخص في مزدلفة، وهذا يدل على وجوب انتظار مغيب الشمس، ثم الدفع من عرفة بعده.   
كيف خالف النبي | كفار مكة في الخروج من عرفة؟, كان كفار مكة يدفعون من عرفة قبل الغروب حن تكون الشمس على رؤوس الجبال كالعمائم على رؤوس الرجال، فخالفهم بذلك، ودفع بعد مغيب الشمس. 
من خرج من عرفة قبل الغروب ناسيا، هل عليه شيء؟, لا شيء عليه، وينبغي على من رآه أن يذكره بهذا الخطأ ليرجع حتى يقضي جزء من الليل ثم يخرج من عرفة، تأسيا بفعل النبي .[ 
إذا خرج الحاج من منطقة عرفة قبل مغيب الشمس متعمدا ثم عاد إليها فهل عليه شيء؟, الخروج للحاجة لا بأس به، ثم عليه العودة إلى داخل عرفة. 
ما حكم الاستعداد للخروج من عرفة قبل مغيب الشمس؟, لا بأس بهذا الفعل استعدادا للتوجه بكل يسر لمزدلفة، وتفاديا من الزحام. 
متى تبدأ التلبية؟, تشرع التلبية بعد مغيب الشمس، وفي الطريق إلى مزدلفة. 
ما حكم من يبتدأ بالتلبية أثناء استعداده للنفرة من عرفة؟, التلبية تبدأ بعد الخروج من عرفة، ومن يبتدئ بالتلبية قبل الخروج فقد فاته الدعاء والسؤال في آخر نهار عرفة. 
هل هناك من عبادة معينة بعد الخروج من عرفة والتوجه إلى مزدلفة؟,   ُيشرع التكبير والتهليل والتلبية أثناء التوجه إلى منطقة مزدلفة، وكان ابن عمر] لا يفتر عن ذلك. 
من دخل عرفة لطارئ عليه بعد المغيب، ما الحكم معه؟, حجه صحيح للطارئ، لان من أدرك وقت عرفة من نهار أو ليل فقد تم حجه وقضى نسكه. 
من فاته الوقوف في النهار، فهل له الوقوف بالليل؟, نعم، فإذا لم يتمكن الحاج - لسبب قاهر - من الوقوف في نهار اليوم التاسع فوقف في الليل بعد الانصراف كفاه ذلك، ولو لوقت يسير، لان الجمع بين النهار والليل في عرفة من واجبات الحج، والواجب يسقط بالعذر. 
ما آخر وقت الانتهاء الوقوف في عرفة؟, آخر حد الانتهاء الوقوف بعرفة هو طلوع فجر يوم العيد. 
ما دليل هذا الحكم؟,  ُعروة بن المضرس حينما ضاع عن دليله ما وقع للصحابي منطقة عرفة وجلس فيها زمنا يسيرا آخر الليل، ثم أدرك النبي في صلاة الفجر بمزدلفة، فأقره النبي على فعله. 
هل صحيح أن عرفة إذا وافقت يوم الجمعة فإنها تعادل سبع حجات؟, لا دليل صحيح على هذا، وللعلم فإن يوم عرفة في حجة النبي قد وافق يوم الجمعة، ولم يقل النبي فيه شيئا. 
ما الفضل لو وافقت عرفة يوم الجمعة؟,   فيها مزية موافقتها لسيد الإيام وهو يوم الجمعة؛ العيد الأسبوعي للمسلمين، وفيها ساعة الاستجابة وهي آخر ساعة من نهار الجمعة، مع ساعات الاستجابة في يوم عرفة. 
هل يصلي الحاج صالة الجمعة في عرفة؟, لا يصلي الجمعة، وحجة النبي وافقت يوم الجمعة ولم يفعل ذلك. 
ماذا يصنع من بلغ مكة صبيحة ليلة العيد وكان محرما؟, هذا فاته الحج، وعليه أن يتحلل بعمرة، أي يطوف ويسعى ويقصر ويتحلل. 
ماذا ُيفعل مبن مات في عرفات؟, من مات بعرفة فله أحكام: أ- أن إحرامه باق عليه: (فإنه يبعث يوم القيامة ملبيا.) رواه البخاري. ب- أنه ُي َغ َّسل كغسل امليت المعتاد، يجوز غسله مباء وسدر، كما في نص الحديث الصحيح لان السدر ليس بطيب. ج- يكفن بإحرامه بردائه وإزاره لقوله :[ (كفنوه بثوبه.) د- أنه لا يغطى رأسه لقوله: (ال ُتخمروا رأسه) ألنه محرم، ويجوز تغطية وجهه. و- لا يكمل أحد عنه حجه ألنه باق على إحرامه 
ما معنى مزدلفة؟, قيل: إن هذا الاسم مشتق من الزلفى، وهو القرب، ومزدلفة تعد أقرب البقاع إلى الحرم من جهة احلل، وقيل لانهم يزدلفون (يقتربون) إليها من عرفة. 
ما أسماء مزدلفة الأخرى؟, تسمى ب (المشعر الحرام) باسم الجبل الموجود فيها وهو جبل (قزح)، وتسمى أيضا (جمعا) لاجتماع الناس فيها، أو لجمع صلاتي المغرب والعشاء فيها. 
